training_age,sets,reps,intensity,base_weight,tempo,training_frequency,motor_control,category,predicted_goal,cycle_length,periodization,weekly_progression
4.0581311290499436,4,7,9.3,196,3.9,4,1.5456603345982138,2,268.2835395342969,12,1,6.023628294524741
9.531785910894204,5,9,8.1,135,3.1,2,7.20999763578049,4,260.56928374082435,16,0,7.848080233801522
7.453942447208348,3,3,7.2,102,4.4,4,7.210869024140591,4,188.44784311387767,16,0,5.402990194617354
6.187255599871848,3,7,9.9,172,2.3,2,9.375461243618833,3,273.061236664403,14,2,7.218659761743071
1.982177084203147,3,3,9.7,107,3.8,3,5.475812015520752,1,159.5711346969063,10,0,5.257113469690632
1.981947943193925,3,4,9.8,196,3.4,3,3.072258286394632,1,247.46397097514335,10,0,5.146397097514336
1.0517943155978948,3,6,10.0,169,3.9,2,1.4010744110381124,0,215.51596614134033,8,0,5.814495767667541
8.728673384861883,3,3,7.5,140,2.2,3,4.740779680173151,4,234.4405565991548,16,0,5.902534787447175
6.210592611560483,3,7,8.2,167,3.7,2,3.7172503006975166,3,251.26061634353013,14,2,6.0186154531092955
7.226689489062432,4,4,9.3,112,3.7,2,7.84979475421488,4,213.08820804382177,16,0,6.31801300273886
0.6955526958101232,5,3,9.1,148,3.7,3,4.1884098835694195,0,191.3470363918351,8,0,5.418379548979388
9.714143595538946,3,5,7.5,159,3.8,2,9.541640766833595,4,272.5256099145619,16,0,7.09535061966012
8.408205087604006,4,9,9.4,101,4.0,4,9.660791826890058,4,224.75682844116713,16,0,7.734801777572946
2.5172215514436234,4,6,7.7,159,4.4,4,6.588177311959372,1,216.52003837948803,10,0,5.752003837948803
2.2273371884674558,5,3,7.7,104,2.8,3,9.357942583133946,1,160.35561138244057,10,0,5.635561138244057
2.2423428436076214,3,4,8.6,143,4.5,3,7.84768910063046,1,197.71027639980665,10,0,5.471027639980664
3.3903013081156086,5,5,8.8,126,3.5,2,5.921736768776135,2,196.0050156180891,12,1,5.833751301507424
5.48518610050626,3,8,8.7,131,2.2,2,2.6227714188050033,3,212.3156459322576,14,2,5.808260423732686
4.603477677100099,4,4,7.3,120,2.2,2,5.1273814916245595,2,186.01889365423762,12,1,5.501574471186468
3.2666768318813983,4,9,9.6,107,3.0,2,6.047870170263558,2,185.20521991044652,12,1,6.517101659203877
6.312602499862605,4,4,7.8,171,4.4,4,8.775654226615092,3,258.66430133882346,14,2,6.261735809915962
1.8251916761943974,4,5,7.4,149,4.1,4,5.332000388820984,1,195.59953399278666,10,0,4.659953399278666
3.2753741610845726,5,4,9.7,166,4.4,3,9.07907205410161,2,242.32160136982898,12,1,6.360133447485748
3.980437511290071,3,5,9.9,143,3.6,2,7.06914081121122,2,218.9472113071374,12,1,6.328934275594783
4.832664850061842,3,3,9.6,157,3.3,2,2.2329915674830425,2,227.0108061517193,12,1,5.834233845976608
7.9591716332336295,5,5,9.4,102,2.4,3,9.954832323925837,4,217.6056215517578,16,0,7.225351346984862
2.3969009305044175,3,5,9.0,185,3.0,2,5.745093946785214,1,241.79284836421317,10,0,5.679284836421317
5.385227164929311,4,6,8.7,169,3.3,2,4.52672466768171,3,251.37190432095707,14,2,5.883707451496933
6.127938404189403,3,5,7.3,101,2.3,2,6.932023880225739,3,180.92154305385384,14,2,5.7086816467038455
0.9412789208399783,4,5,8.2,186,2.7,2,1.9800398258293517,0,224.50029110546384,8,0,4.812536388182981
6.271676093063665,5,8,8.1,143,3.8,2,6.72884782078019,3,239.7666804756796,14,2,6.911905748262829
2.1199791750292696,3,3,7.8,101,4.2,3,5.484124004493457,1,145.18601940697437,10,0,4.418601940697437
1.1179901333601554,5,9,9.2,180,5.0,2,4.660066629987249,0,239.93402101186211,8,0,7.491752626482764
9.514412603906665,3,6,8.5,134,4.8,3,9.577180190610093,4,252.98107111716845,16,0,7.436316944823028
